T(K) logP(GPa) logrho(g/cm^3) logE(MJ/kg) S(MJ/kg/K)
200 3.18447229 Nan Nan Nan
200 3.20267845 Nan Nan Nan
200 3.22015198 Nan Nan Nan
200 3.23694959 Nan Nan Nan
200 3.25312162 Nan Nan Nan
200 3.26871301 Nan Nan Nan
200 3.283764 Nan Nan Nan
200 3.2983108 Nan Nan Nan
200 3.31238611 Nan Nan Nan
200 3.32601953 Nan Nan Nan
200 3.33923795 Nan Nan Nan
200 3.35206591 Nan Nan Nan
200 3.36452581 Nan Nan Nan
200 3.37663819 Nan Nan Nan
200 3.38842189 Nan Nan Nan
200 3.3998943 Nan Nan Nan
200 3.41107144 Nan Nan Nan
200 3.42196812 Nan Nan Nan
200 3.43259807 Nan Nan Nan
200 3.44297404 Nan Nan Nan
200 3.45310789 Nan Nan Nan
200 3.46301066 Nan Nan Nan
200 3.47269265 Nan Nan Nan
200 3.4821635 Nan Nan Nan
200 3.49143221 Nan Nan Nan
200 3.50050723 Nan Nan Nan
200 3.50939649 Nan Nan Nan
200 3.51810745 Nan Nan Nan
200 3.52664712 Nan Nan Nan
200 3.53502211 Nan Nan Nan
200 3.54323864 Nan Nan Nan
200 3.5513026 Nan Nan Nan
200 3.55921955 Nan Nan Nan
200 3.56699477 Nan Nan Nan
200 3.57463323 Nan Nan Nan
200 3.58213966 Nan Nan Nan
200 3.58951855 Nan Nan Nan
200 3.59677416 Nan Nan Nan
200 3.60391054 Nan Nan Nan
200 3.61093155 Nan Nan Nan
200 3.61784086 Nan Nan Nan
200 3.62464196 Nan Nan Nan
200 3.6313382 Nan Nan Nan
200 3.63793276 Nan Nan Nan
200 3.64442868 Nan Nan Nan
200 3.65082886 Nan Nan Nan
200 3.6571361 Nan Nan Nan
200 3.66335304 Nan Nan Nan
200 3.66948225 Nan Nan Nan
200 3.67552615 Nan Nan Nan
200 3.6814871 Nan Nan Nan
200 3.68736733 Nan Nan Nan
200 3.69316902 Nan Nan Nan
200 3.69889421 Nan Nan Nan
200 3.70454492 Nan Nan Nan
200 3.71012305 Nan Nan Nan
200 3.71563043 Nan Nan Nan
200 3.72106886 Nan Nan Nan
200 3.72644002 Nan Nan Nan
200 3.73174556 Nan Nan Nan
200 3.73698707 Nan Nan Nan
200 3.74216607 Nan Nan Nan
200 3.74728404 Nan Nan Nan
200 3.7523424 Nan Nan Nan
200 3.75734252 Nan Nan Nan
200 3.76228573 Nan Nan Nan
200 3.7671733 Nan Nan Nan
200 3.77200649 Nan Nan Nan
200 3.77678647 Nan Nan Nan
200 3.78151442 Nan Nan Nan
200 3.78619145 Nan Nan Nan
200 3.79081865 Nan Nan Nan
200 3.79539707 Nan Nan Nan
200 3.79992772 Nan Nan Nan
200 3.8044116 Nan Nan Nan
200 3.80884966 Nan Nan Nan
200 3.81324282 Nan Nan Nan
200 3.81759199 Nan Nan Nan
200 3.82189803 Nan Nan Nan
200 3.8261618 Nan Nan Nan
200 3.83038412 Nan Nan Nan
200 3.83456578 Nan Nan Nan
200 3.83870756 Nan Nan Nan
200 3.84281021 Nan Nan Nan
200 3.84687447 Nan Nan Nan
200 3.85090104 Nan Nan Nan
200 3.85489063 Nan Nan Nan
200 3.8588439 Nan Nan Nan
200 3.86276151 Nan Nan Nan
200 3.8666441 Nan Nan Nan
200 3.87049228 Nan Nan Nan
200 3.87430667 Nan Nan Nan
200 3.87808784 Nan Nan Nan
200 3.88183638 Nan Nan Nan
200 3.88555284 Nan Nan Nan
200 3.88923776 Nan Nan Nan
200 3.89289168 Nan Nan Nan
200 3.89651512 Nan Nan Nan
